Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone
35,0.9795386174396662,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'1449 s keeler ave',b'60623',b'5213126'
35,0.9795386174396662,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'1449 s keeler ave',b'60623',b'5213126'
37,0.9819346,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'lutheran social services of illinois - north austin / lssi',b'1500 n mason ave',b'',b'2371930'
38,0.9819346,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'marcy newberry association - new birth',b'1500 w 69th st',b'',b'4710699'
39,0.9733026379429958,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago youth centers - mt. moriah-taylor / cyc',b'1501 n harding ave',b'60651',b'2785837'
41,0.9815855139101634,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'marcy newberry association - marcy center',b'1539 s springfield ave',b'60623',b'7612300'
41,0.9815855139101634,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'marcy newberry association - marcy center',b'1539 s springfield ave',b'60623',b'7612300'
43,0.9819346070573783,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'mary crane league - mary crane - morse',b'1545 w morse ave',b'',b'2621390'
45,0.9819346,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'south shore bible - maranatha',b'1631 e 71st st',b'',b'4937500'
46,0.9781471162411213,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago commons association - taylor center for new experiences',b'1633 n hamlin ave',b'60647',b'2278551'
48,0.9819346,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - ebenezer',b'1652 w foster ave',b'',b'8789925'
49,0.9580281729420074,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago commons association - paulo freire',b'1653 w 43rd st',b'60609',b'8262669'
51,0.9774338518821861,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'erie neighborhood house - erie community center',b'1701 w superior st',b'60622',b'5635800'
54,0.842219737093534,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - little tykes i',b'1711 w 35th st',b'60609',b'2547700'
54,0.842219737093534,45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - little tykes i',b'1711 w 35th st',b'60609',b'2547700'
55,0.946515,46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'childserv - pilsen',b'1711 w garfield blvd',b'',b''
56,0.9819346070573783,47,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el hogar del nino/cuidar - el hogar del nino/el centro - loomis',b'1718 s loomis blvd',b'',b'5639796'
56,0.9819346070573783,48,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el hogar del nino/cuidar - el hogar del nino/el centro - loomis',b'1718 s loomis blvd',b'',b'5639796'
60,0.9260181215760607,49,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - little tykes ii',b'1723 w 35th st',b'60609',b'5791791'
60,0.9260181215760607,50,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - little tykes ii',b'1723 w 35th st',b'60609',b'5791791'
61,0.9819346070573783,51,CPS_Early_Childhood_Portal_scrape.csv, Church of God True Believers - Church of God Day Care,1738 W Marquette Rd ,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'church of god true believers - church of god day care',b'1738 w marquette rd',b'',b'4715222'
63,0.9819346070573783,52,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'lutheran social services of illinois - rogers park / lssi',b'1754 w devon ave',b'',b'2623366'
66,0.9667369049429437,53,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago commons association - guadalupano family center',b'1814 s paulina st',b'60608',b'6663883'
66,0.9667369049429437,54,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chicago commons association - guadalupano family center',b'1814 s paulina st',b'60608',b'6663883'
68,0.8704491805660104,55,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ymca of metropolitan chicago - mccormick tribune- ymca',b'1834 n lawndale',b'60647',b'2352525'
70,0.9819346070573783,56,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'board trustees-city colleges of chicago - malcolm x college',b'1900 w van buren st',b'',b'8507000'
70,0.9819346070573783,57,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'board trustees-city colleges of chicago - malcolm x college',b'1900 w van buren st',b'',b'8507000'
73,0.9731602884049353,58,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - guadalupe reyes children & family center',b'1951 w 19th st',b'60608',b'9972021'
73,0.9731602884049353,59,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - guadalupe reyes children & family center',b'1951 w 19th st',b'60608',b'9972021'
75,0.84626502552892,60,CPS_Early_Childhood_Portal_scrape.csv, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'north avenue day nursery - north avenue day nursery',b'2001 w pierce',b'60622',b'3424499'
77,0.9700152430898484,61,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center CTR 2020,2020 W Roosevelt Rd ,,2437300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'carole robertson center for learning - carole robertson center ctr 2020',b'2020 w roosevelt rd',b'60608',b'2437300'
77,0.9700152430898484,62,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center CTR 2020,2020 W Roosevelt Rd ,,2437300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'carole robertson center for learning - carole robertson center ctr 2020',b'2020 w roosevelt rd',b'60608',b'2437300'
79,0.9819346070573783,63,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chinese american service league - chinese american service league',b'2141 s tan ct',b'',b'7910418'
79,0.9819346070573783,64,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'chinese american service league - chinese american service league',b'2141 s tan ct',b'',b'7910418'
81,0.9819346070573783,65,CPS_Early_Childhood_Portal_scrape.csv, First Church of Love And Faith - First Church of Love & Faith Annex,2141 W 79th St ,,2246800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'first church of love and faith - first church of love & faith annex',b'2141 w 79th st',b'',b'2246800'
83,0.9795605656657075,66,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el hogar del nino/cuidar - el hogar del nino/cuidar- california',b'2325 s california ave',b'60608',b'5231629'
83,0.9795605656657075,67,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el hogar del nino/cuidar - el hogar del nino/cuidar- california',b'2325 s california ave',b'60608',b'5231629'
84,0.9819346070573783,68,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Bernard Gentry,2326 S Dearborn St ,,8428557,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'henry booth house - bernard gentry',b'2326 s dearborn st',b'',b'8428557'
84,0.9819346070573783,69,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Bernard Gentry,2326 S Dearborn St ,,8428557,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'henry booth house - bernard gentry',b'2326 s dearborn st',b'',b'8428557'
85,0.9819346,70,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Kenyatta's Day Care,2334 E 75th ,,2213777,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b""chicago state university - kenyatta's day care""",b'2334 e 75th',b'',b'2213777'
86,0.9819346,71,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Hillard House / Henry Booth,2401 S Wabash Ave ,,7919710,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'henry booth house - hillard house / henry booth',b'2401 s wabash ave',b'',b'7919710'
87,0.9795386174396662,72,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac,2414 S Albany Ave ,,2775888,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - our lady of tepeyac',b'2414 s albany ave',b'60623',b'2775888'
87,0.9795386174396662,73,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac,2414 S Albany Ave ,,2775888,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'catholic charities of the archdiocese of chicago - our lady of tepeyac',b'2414 s albany ave',b'60623',b'2775888'
89,0.97393480658317,74,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - High Ridge YMCA,2424 W Touhy Ave ,,2628300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ymca of metropolitan chicago - high ridge ymca',b'2424 w touhy ave',b'60645',b'2628300'
91,0.9465150232609412,75,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - carlos cantu',b'2434 s kildare ave',b'',b''
91,0.9465150232609412,76,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - carlos cantu',b'2434 s kildare ave',b'',b''
93,0.9550603744860875,77,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'christopher house',b'2507 n greenview ave',b'60614',b'4721083'
95,0.9819346070573783,78,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Logan Square,2610 N Francisco Ave ,,2354073,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'christopher house - christopher house - logan square',b'2610 n francisco ave',b'',b'2354073'
96,0.9819346070573783,79,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'st. augustine college - st. augustine - nayarit',b'2610 w 25th pl',b'',b'8783641'
96,0.9819346070573783,80,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'st. augustine college - st. augustine - nayarit',b'2610 w 25th pl',b'',b'8783641'
98,0.9645648186288207,81,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ymca of metropolitan chicago - rauner',b'2700 s western ave',b'60608',b'8473115'
98,0.9645648186288207,82,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ymca of metropolitan chicago - rauner',b'2700 s western ave',b'60608',b'8473115'
99,0.8378399,83,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - YMCA - Bowen High School,2710 E 89th St ,,9330166,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'ymca of metropolitan chicago - ymca - bowen high school',b'2710 e 89th st',b'60617',b'9330166'
100,0.946515,84,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.,2718 W 59th St ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b""easter seals society of metropolitan chicago - the keeper's inst.""",b'2718 w 59th st',b'',b''
101,0.9637611001070325,85,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Centro Infantil(Puerto Rican Comm),2739 W Division St ,,3428866,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'el valor - centro infantil(puerto rican comm)',b'2739 w division st',b'60622',b'3428866'
